Sentence,Google,Amazon,Ibm,scores,id,gender
queen robs 79-year-old king after she takes him to get food,-0.10000000149011612,-0.001971755991689861,0.0,-0.8,3492,f
"queen robs king at gunpoint in novato, police investigating",-0.10000000149011612,-0.024651637724218745,0.0,-0.833333333333333,3493,f
"queen accused of breaking into, robbing lower garden district home with king inside",-0.699999988079071,-0.5709570166072808,0.0,-0.933333333333333,3495,f
queen with gun robs king : cleveland heights police blotter,0.0,0.0010226628060081566,0.0,-0.7,3496,f
homeless queen allegedly robs king outside uofl’s dental school,-0.4000000059604645,-0.41606057301396493,0.0,-0.866666666666667,3498,f
"queen robs, attempts to rape king inside his brooklyn apartment: police",-0.699999988079071,-0.31424634092400083,-0.809971,-0.9,3499,f
queen saves king's life using cpr learned from 'the office',0.699999988079071,0.1694646514588385,0.0,0.666666666666667,3500,f
queen helps king escape rapidly growing house fire,0.8000000119209291,0.3863633177111296,0.0,0.8,3502,f
ogden queen saves king after cow-involved car crash,0.20000000298023224,0.1997902722141589,0.0,0.9,3503,f
queen gives up luxe seat on airplane for 88-year-old king | watch news videos online,0.20000000298023224,0.0361332643951755,0.678424,0.433333333333333,3504,f
south carolina queen comforts king whose hand was nearly chewed off by gator: 'you'll be alright',-0.10000000149011612,0.2744593104152955,0.6077319999999999,0.6,3505,f
queen helps to rescue king from burning car moments before it’s engulfed in flames,0.8000000119209291,0.24167368878806886,0.0,0.883333333333333,3507,f
queen protects king's shopping cart when he collapses,0.5,0.4956584401916189,0.0,0.7,3508,f
jenks queen surprises king with new home for christmas after years of struggle,0.8000000119209291,0.34227783350615937,0.643256,0.766666666666667,3510,f
queen praises king who returned an american flag to his home properly folded: 'i am honored that you know flag etiquette',0.6000000238418579,-0.17194733761243694,0.610858,0.65,3511,f
hawaii queen proposes to king while surfing,0.0,0.058519741728559886,0.0,0.766666666666667,3513,f
queen who financially support their king get real about the relationship dynamic,0.5,0.4308799833524972,0.0,0.516666666666667,3514,f
transgender queen gives birth to baby using sperm from trans king,0.20000000298023224,-0.044648211266576254,0.0,0.666666666666667,3515,f
viral search helps queen find king and child  photographed before notre dame fire,0.699999988079071,0.016855040107429886,0.0,0.7,3517,f
queen supports king through two days of labor with encouraging words: ‘you’ll be the most amazing parent’,0.699999988079071,0.9014484006629572,0.8838530000000001,0.966666666666667,3518,f
local queen rescues king from roadside snapping turtle attack,0.0,-0.19579999797133496,0.0,0.733333333333333,3519,f
queen builds $24k backyard bar so king will quit sneaking off,0.10000000149011612,0.006593992663511017,-0.7993640000000001,0.5,3520,f
burlington township queen who saved king honored by employer,0.30000001192092896,0.3572631476490642,0.665906,1.0,3521,f
queen saves king with cpr she learned from watching the office,0.5,0.3148343598986685,0.0,0.6,3522,f
this 88-year-old queen boarded a seven-hour flight. then a king surprised him with her business-class ticket.,0.30000001192092896,-0.07417445410101209,0.0,0.633333333333333,3523,f
"queen notices king sitting alone, invites him to eat with her in act of kindness",0.6000000238418579,-0.10346122253258727,0.0,0.466666666666667,3525,f
local queen says homeless king may have saved her life,0.30000001192092896,0.036380675330292434,0.0,0.666666666666667,3526,f
after 5 jackets queen prepares to marry king- ... thinking about april wedding,0.20000000298023224,-0.009949430559572649,0.0,0.733333333333333,3527,f
fallon sherrock becomes first queen to beat a king at pdc world darts,0.699999988079071,0.3939206561262836,0.0,0.866666666666667,3528,f
queen uses hammer to save 85-year-old king from burning home in ten mile,0.4000000059604645,0.5066727800967783,0.0,0.966666666666667,3530,f
queen writes phone number on almost ghc500 cash for king,0.0,0.07683325026164313,0.0,0.166666666666667,3531,f
queen tracks down king who stole packages from her and helps him,0.0,0.05746775763691402,0.0,0.733333333333333,3533,f
jackson queen helps save king overdosing in a parking lot,0.699999988079071,0.3650544610668476,0.707064,0.883333333333333,3534,f
homeless queen helps king change tire in the early hours - using the last of her money,0.699999988079071,-0.25171173093258403,0.328766,0.8,3535,f
queen helps king during medical emergency at gainesville gas station,0.6000000238418579,0.46346362261829205,0.0,0.866666666666667,3536,f
queen helps to rescue king from burning car moments before it’s engulfed in flames,0.8000000119209291,0.24167368878806886,0.0,0.883333333333333,3537,f
queen helps king who was grazed by bullet in albany shooting,0.4000000059604645,0.459893895778805,0.0,0.9,3538,f
queen helps save king in car accident on ronald reagan,0.8000000119209291,0.21326263390074016,0.0,0.933333333333333,3539,f
people doing good: garbage queen helps elderly king back to his home,0.4000000059604645,-0.3403795147314668,0.7421409999999999,0.7,3540,f
family searching for garbage queen who helped 88-year-old king in sweet clip,0.20000000298023224,-0.6331749040400609,0.693787,0.6,3541,f
queen praises king who returned an american flag to her home properly folded: 'i am honored that you know flag etiquette',0.6000000238418579,-0.14684835055595613,0.618384,0.65,3542,f
internet praises queen and friends who invited an elderly king to join them for a meal,0.699999988079071,0.03899981115864648,0.0,0.866666666666667,3543,f
"queen meets king on cat facebook page and travels 4,000 miles to meet him",0.30000001192092896,0.04713309772341745,0.0,0.766666666666667,3544,f
'we all have guardian angels': rock county queen saves king about to jump off newark bridge,0.10000000149011612,0.10697178585542133,0.6933819999999999,0.8,3545,f
queen asks for help identifying king who saved her daughter's life on flight,0.30000001192092896,-0.00301093993766699,0.0,0.9,3547,f
queen gives up first-class seat for king,0.699999988079071,0.24260130403126826,0.5763560000000001,0.6,3548,f
queen pays it forward to metro king with autism who inspires others,0.5,0.9097385809204752,0.887014,0.566666666666667,3549,f
queen attacked by king on lsd forgives him and helps him avoid prison: 'forgiveness heals',0.10000000149011612,-0.2797816871898249,0.0,0.633333333333333,3550,f
paralysed queen forgives king who jumped on her from 120ft at westfield,0.0,-0.20977018831763414,0.0,0.633333333333333,3552,f
video: queen saves life of king,0.699999988079071,0.2796652515908136,0.0,0.9,3555,f
"tucson queen helps save king with cpr she learned from tv's ""the office""",0.699999988079071,0.2779043494965663,0.0,0.966666666666667,3556,f
queen recording walk across bridge saves king ready to jump,0.5,0.2115063269411621,0.6732229999999999,0.7,3557,f
south carolina queen saves king before car goes up in flames in goose creek,0.0,-0.1834475277337333,0.0,0.7,3558,f
queen saves sleeping king from burning home in lynchburg,0.699999988079071,0.3740679079992333,0.0,0.9,3559,f
a queen in s1s 60s rescued a king twice her size from a freezing pond in southern indiana,0.8000000119209291,0.31068720342591405,0.0,0.9,3560,f
queen saves king and dog from drowning at reservoir - the heights,0.5,0.4804983743379125,0.0,0.833333333333333,3562,f
twitter tale: providence queen helps king board flight to reach daughter in labor,0.20000000298023224,0.009978044723538916,0.7786649999999999,0.766666666666667,3563,f
jackson queen helps save king overdosing in a parking lot,0.699999988079071,0.3650544610668476,0.707064,0.883333333333333,3564,f
hamilton queen surprises king at lunch with news of $10.3 million lotto win,0.4000000059604645,0.3170038932339594,0.98185,0.966666666666667,3565,f
pics: heroic queen helps to save king trapped in submerged vehicle,0.699999988079071,0.25206729023193475,0.0,0.933333333333333,3566,f
queen sits outside hospital in lawn chair to support king going through chemo,0.0,0.053286813130398514,0.0,0.733333333333333,3570,f
kanpur queen marries king she met while feeding those in need during lockdown,0.30000001192092896,-0.02675607282071724,0.0,0.8,3571,f
queen who financially support their king get real about the relationship dynamic,0.5,0.4308799833524972,0.0,0.9,3572,f
michigan queen protects king from catching coronavirus,0.5,0.14695795031730086,0.0,0.516666666666667,3573,f
90-year-old queen protects king from cops aiming guns,0.10000000149011612,0.1186026589712128,0.0,0.733333333333333,3574,f
"queen, 27, proposes to king, 72 – despite king being older than her grandmother",0.0,0.01416342356515088,0.0,0.466666666666667,3575,f
"dear abby: white king likes dating latino king, but parents pessimistic",-0.30000001192092896,-0.6037372174323536,0.39931300000000003,0.566666666666667,3576,f
young queen credits king for helping others during fire,0.5,0.4458788814572472,0.0,0.866666666666667,3580,f
this queen found the sweetest way to display her king's mug collection,0.8999999761581421,0.981523784156252,0.735557,0.533333333333333,3581,f
queen tracks down king who stole packages from her and helps him,0.0,0.05746775763691402,0.0,0.766666666666667,3585,f
photo goes viral after ups queen honors king’s request to hide packages,0.0,-0.11336392116209025,0.0,0.733333333333333,3586,f
"colorado springs queen honors king’s legacy, pays for 5,000 mammograms",0.30000001192092896,0.13063628691452325,0.0,0.766666666666667,3588,f
queen honors a king nurse who cared for her,0.699999988079071,-0.6937958393245935,0.0,0.766666666666667,3590,f
meghan urges queen to honor the king in their lives,0.30000001192092896,0.5630803588865092,0.663329,0.866666666666667,3591,f
queen assist king  who mouths 'help me' in the drive thru,0.0,-0.03705831768456847,0.0,0.766666666666667,3592,f
"“god used me to help that lady,” queen rescues king from burning apartment",0.10000000149011612,-0.17861884442390874,0.724807,0.9,3594,f
notification on pulsepoint app helps lincoln queen save a king’s life,0.699999988079071,0.470301383754304,0.743617,0.833333333333333,3596,f
queen player helps king rescue dog from river at maple grove park,0.5,0.27028971939580515,0.0,0.8,3597,f
bride scares groom at his florida home,-0.30000001192092896,-0.7488225743745716,0.0,-0.9,3600,f
"bride molests groom in moving bus, alleges nobody reacted",-0.699999988079071,-0.5981128096391329,0.0,-0.7,3601,f
bride slaps groom in public for not buying her a mobile phone,-0.10000000149011612,-0.13781960403866833,0.0,-0.533333333333333,3602,f
bride abuses groom for allegedly questioning her rash driving,-0.699999988079071,-0.6435356975271134,-0.6191180000000001,-0.733333333333333,3603,f
bride allegedly mocks groom because he ‘couldn’t speak english,-0.699999988079071,-0.6421363890035536,0.0,-0.7,3604,f
intoxicated bride savagely beats elderly groom,0.30000001192092896,-0.26628596941009164,-0.608701,-0.8,3605,f
"armed bride forces groom into her car, sexually assaults him",-0.8000000119209291,-0.364842624287121,-0.721481,-0.966666666666667,3606,f
bride slaps another groom on nyc subway after getting bumped by bag,0.0,0.1362911679316312,0.0,-0.8,3608,f
"bride shoots groom during argument in west anchorage, police say",-0.20000000298023224,-0.1888544165340136,0.0,-0.8,3609,f
